log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
19.28103336724773,0.12,0.64,287.2222222222222,10.73495189292818,1.29,0.011,0.26,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.28103336724773,0.12,0.64,287.2222222222222,10.73495189292818,1.29,0.011,0.26,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.34242268082221,0.12,0.64,286.6666666666667,10.4182449074479,1.29,0.011,0.26,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.34242268082221,0.12,0.64,286.6666666666667,10.4182449074479,1.29,0.011,0.26,0.24,1.0,0.0,0.0,0.0,0.0,0.0
18.69897000433602,0.174,0.665,287.2222222222222,10.72159690180681,1.465,0.01,0.219,0.186,0.0,0.0,0.0,0.0,1.0,0.0
18.69897000433602,0.18,0.16,287.2222222222222,10.72159690180681,1.05,0.014,0.15,0.2,0.0,1.0,0.0,0.0,0.0,0.0
19.28103336724773,0.18,0.16,287.2222222222222,10.73495189292818,1.05,0.014,0.15,0.2,0.0,1.0,0.0,0.0,0.0,0.0
19.34242268082221,0.18,0.16,286.6666666666667,10.4182449074479,1.05,0.014,0.15,0.2,0.0,1.0,0.0,0.0,0.0,0.0
18.91645394854993,0.133,0.66,287.7777777777778,10.7520663505966,1.21,0.005,0.208,0.205,1.0,0.0,0.0,0.0,0.0,0.0
19.29003461136252,0.133,0.66,287.2222222222222,10.74356380982559,1.21,0.005,0.208,0.205,1.0,0.0,0.0,0.0,0.0,0.0
19.29003461136252,0.133,0.66,287.2222222222222,10.74356380982559,1.21,0.005,0.208,0.205,1.0,0.0,0.0,0.0,0.0,0.0
19.38738982633873,0.133,0.66,286.6666666666667,10.45513342564177,1.21,0.005,0.208,0.205,1.0,0.0,0.0,0.0,0.0,0.0
18.91645394854993,0.174,0.665,287.7777777777778,10.7520663505966,1.465,0.01,0.219,0.186,0.0,0.0,0.0,0.0,1.0,0.0
18.91645394854993,0.21,0.06,287.7777777777778,10.7520663505966,1.167,0.013,0.115,0.143,0.0,1.0,0.0,0.0,0.0,0.0
19.29003461136252,0.21,0.06,287.2222222222222,10.74356380982559,1.167,0.013,0.115,0.143,0.0,1.0,0.0,0.0,0.0,0.0
19.38738982633873,0.21,0.06,286.6666666666667,10.45513342564177,1.167,0.013,0.115,0.143,0.0,1.0,0.0,0.0,0.0,0.0
18.42651126136457,0.14,0.49,280.0,10.82390093347325,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
18.91960102378411,0.14,0.49,280.0,10.87921517290216,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.07918124604763,0.14,0.49,280.0,10.88576944017869,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.26481782300954,0.14,0.49,280.0,10.80364188040415,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
18.42651126136457,0.14,0.49,280.0,10.82390093347325,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
18.91960102378411,0.14,0.49,280.0,10.87921517290216,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.07918124604763,0.14,0.49,280.0,10.88576944017869,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.26481782300954,0.14,0.49,280.0,10.80364188040415,1.4,0.009,0.24,0.25,1.0,0.0,0.0,0.0,0.0,0.0
